processed_input,weight
__INTERCEPT__,-13.334767200956307
ph_last_6h,0.4393523072769429
ph_min_6h,0.34246784025013205
ph_max_6h,0.1306863712533719
ph_n_6h,0.09385396085113817
ph_mean_6h,0.08903388364513443
lactate_n_6h,0.0845576712841892
creat_n_6h,0.039886137602249426
lactate_min_6h,-0.029787454254530176
k_max_6h,0.028942315951008542
lactate_mean_6h,-0.020892332047736963
lactate_last_6h,-0.020050180408288636
k_mean_6h,0.01895453333475304
k_n_6h,0.016961575574471432
hgb_n_6h,-0.016744927346279977
k_last_6h,0.0165632145889502
lactate_max_6h,-0.011696983867039356
creat_last_6h,0.005847952954716501
wbc_n_6h,0.005822075683868156
creat_max_6h,0.005797171629547999
k_min_6h,0.005732094539130452
creat_mean_6h,0.005333949749025843
hgb_max_6h,0.004944885387443354
creat_min_6h,0.004835678852841508
hgb_mean_6h,0.004458372047189325
hgb_last_6h,0.004041804961654041
sao2_min_6h,-0.0039747502729426485
hgb_min_6h,0.003559247289330343
map_min_6h,-0.0017814966063241186
hr_min_6h,-0.0015654931980633867
sbp_min_6h,-0.001552642401662212
temp_mean_6h,-0.0012590420056245184
rr_min_6h,-0.0011892476147989765
sao2_mean_6h,0.0010323517624745116
hr_max_6h,9.605040180390168E-4
rr_max_6h,8.268047702240682E-4
wbc_max_6h,5.961427712013896E-4
sao2_n_6h,-5.829639851645779E-4
wbc_last_6h,4.765812355052093E-4
sbp_mean_6h,-4.412646082514462E-4
hr_n_6h,-4.271503764592347E-4
wbc_mean_6h,3.939681967700845E-4
temp_n_6h,3.8120479563006075E-4
hr_mean_6h,-3.4228349658377933E-4
map_n_6h,2.708243384966465E-4
sbp_n_6h,2.698070630775094E-4
wbc_min_6h,1.8663685755550396E-4
rr_mean_6h,1.427322808116737E-4
rr_n_6h,1.1635938044977154E-4
map_mean_6h,-3.834287336608039E-5
